dataset,file,rpa,rca,mae,frames_used
MOSA,ba1_ev04_t1.wav,0.8388906804256692,0.8452112221863914,66.2975845336914,15505
MOSA,ba1_ev04_t2.wav,0.8214285714285714,0.8405939298796442,83.10118865966797,15288
MOSA,ba1_yv02_t2.wav,0.8148904698175671,0.833345072902726,84.96898651123047,14197
MOSA,ba1_yv02_t3.wav,0.8031519257677295,0.82450843213786,93.51220703125,13579
MOSA,ba3_ev03_t1.wav,0.7320240220743386,0.7567764973218634,142.5664825439453,12322
MOSA,ba3_ev03_t2.wav,0.7236306208960186,0.7465713573269055,152.95327758789062,12031
MOSA,ba3_ev04_t1.wav,0.7416208431526577,0.7517020162346164,120.91556549072266,15276
MOSA,ba3_ev04_t2.wav,0.7640347465318293,0.773110333203682,108.28997802734375,15426
MOSA,ba3_yv02_t1.wav,0.5665655099617364,0.5870827285921626,218.27919006347656,15158
MOSA,ba3_yv02_t2.wav,0.7328431372549019,0.7460084033613446,128.82275390625,14280
MOSA,ba3_yv02_t3.wav,0.7271182684494348,0.7489842653468272,134.8095245361328,13537
MOSA,ba4_ev03_t1.wav,0.7881792553708564,0.794983960338291,85.85411071777344,10287
MOSA,ba4_ev03_t2.wav,0.7999806837937029,0.8096387869422446,87.94456481933594,10354
MOSA,ba4_yv08_t1.wav,0.7148487307291063,0.7288744638924307,126.95787811279297,8627
MOSA,ba4_yv08_t2.wav,0.7429759496516071,0.7539896605978872,117.20779418945312,8898
MOSA,ba4_yv08_t3.wav,0.7358019082235348,0.7448886869604725,111.3108139038086,8804
MOSA,be6_yv03_t1.wav,0.8290394130694421,0.8580447022692373,82.80335998535156,11722
MOSA,be6_yv08_t1.wav,0.8182471264367817,0.8336027298850575,80.75381469726562,11136
MOSA,be7_yv05_t1.wav,0.8493070466523521,0.870583642397033,77.23653411865234,5123
MOSA,be8_ev01_t1.wav,0.84779299847793,0.8522208385222084,60.04875946044922,7227
MOSA,be8_ev01_t2.wav,0.8528856526429341,0.8539644012944984,60.63911056518555,7416
MOSA,be8_yv04_t1.wav,0.8587576272881865,0.8669600880264079,62.07365798950195,9997
MOSA,be8_yv04_t2.wav,0.8674264007597341,0.8690408357075023,44.098941802978516,10530
MOSA,be8_yv04_t3.wav,0.8672427336999214,0.8690102120974077,55.76763153076172,10184
MOSA,be8_yv07_t1.wav,0.850624496373892,0.851228847703465,49.942447662353516,9928
MOSA,be8_yv07_t2.wav,0.8648573287480249,0.8697834371224091,48.54585647583008,10759
MOSA,be8_yv07_t3.wav,0.8663720142937746,0.8691931540342298,42.561302185058594,10634
MOSA,de1_yv05_t1.wav,0.8007080383173678,0.814868804664723,124.07382202148438,9604
MOSA,de1_yv05_t2.wav,0.8128319524113023,0.8209050350541747,107.11380767822266,9414
MOSA,de1_yv05_t3.wav,0.8044636573841359,0.8228611641701016,119.6325912475586,9947
MOSA,de2_ev01_t1.wav,0.9395079594790159,0.9410516160154365,25.344757080078125,10365
MOSA,de2_ev01_t2.wav,0.9203174930419544,0.9217606432326564,38.923988342285156,9701
MOSA,de2_yv09_t1.wav,0.8405488983378431,0.8512756088132972,89.89324951171875,10348
MOSA,de2_yv09_t2.wav,0.8562981039984983,0.8613666228646518,77.7094955444336,10654
MOSA,de2_yv09_t3.wav,0.8510187148520328,0.8599612796164838,81.16719818115234,10847
MOSA,el1_yv02_t1.wav,0.9260539046302695,0.9330511402902557,37.57963180541992,11576
MOSA,el1_yv02_t2.wav,0.914596003475239,0.9189400521285839,39.74700927734375,11510
MOSA,el1_yv02_t3.wav,0.9065459036640593,0.9234252778921367,48.003868103027344,12145
MOSA,me4_yv05_t1.wav,0.7317598159281526,0.7725822014399168,175.32254028320312,13473
MOSA,me4_yv05_t2.wav,0.7416971415777297,0.7719232778565565,183.9414520263672,13399
MOSA,me4_yv05_t3.wav,0.727499433235094,0.772236076475478,178.4188995361328,13233
MOSA,mo4_ev02_t1.wav,0.7813575996064929,0.7862764387604525,91.5286865234375,8132
MOSA,mo4_ev02_t2.wav,0.8126907426246185,0.8173957273652085,67.24998474121094,7864
MOSA,mo4_yv01_t1.wav,0.7791929532198548,0.7905011308177597,90.39910125732422,8401
MOSA,mo4_yv01_t2.wav,0.8005985783763562,0.8171841875545579,87.63074493408203,8019
MOSA,mo4_yv01_t3.wav,0.8301794652667562,0.8405567085825907,78.3617935180664,8191
MOSA,mo4_yv05_t1.wav,0.8495509902817074,0.8542256120063969,68.69251251220703,8129
MOSA,mo4_yv05_t2.wav,0.8379380915835252,0.8544384753133794,77.6412353515625,7818
MOSA,mo4_yv05_t3.wav,0.8299344951180324,0.8363613891978742,84.4034423828125,8091
MOSA,mo4_yv09_t1.wav,0.8295153122739329,0.8322884012539185,72.06546783447266,8294
MOSA,mo4_yv09_t2.wav,0.7967345905581572,0.8019238071130237,128.09214782714844,7901
MOSA,mo4_yv09_t3.wav,0.8242483500366659,0.8298704473233928,82.39281463623047,8182
MusicNet,1788.wav,0.0815687841257158,0.21753895325609268,1694.7618408203125,30036
MusicNet,1789.wav,0.09637204090208713,0.20703179717047204,1661.2169189453125,28556
MusicNet,1790.wav,0.13879781420765028,0.3246942492844132,1375.6844482421875,19215
MusicNet,1791.wav,0.07882576787170427,0.22951889100298994,1696.387939453125,18395
MusicNet,1792.wav,0.11031062196799653,0.2230468467163855,1410.497314453125,27622
MusicNet,1793.wav,0.10304102062083557,0.21037673287649603,1526.0904541015625,31667
MusicNet,2147.wav,0.009959686981266303,0.03195399573156272,1581.5986328125,33736
MusicNet,2462.wav,0.2993508326277166,0.5276319503245837,1129.9896240234375,17715
MusicNet,2463.wav,0.23159881369641414,0.3244135885683473,1124.085205078125,14836
MusicNet,2466.wav,0.05751322357148179,0.09662519555985995,1217.43408203125,13423
MusicNet,2621.wav,0.09079945731370283,0.26031355208280993,1624.2896728515625,39802
MusicNet,2622.wav,0.12492759918911092,0.3464740805097017,1605.3819580078125,27624
Bach10,01-AchGottundHerr-violin.wav,0.9644970414201184,0.9663177059626764,15.985487937927246,2197
Bach10,02-AchLiebenChristen-violin.wav,0.9540773726690788,0.954912329529641,16.48006820678711,3593
Bach10,03-ChristederdubistTagundLicht-violin.wav,0.9694690265486726,0.9707964601769912,13.97081470489502,2260
Bach10,04-ChristeDuBeistand-violin.wav,0.9751792608935466,0.9751792608935466,9.83074951171875,3626
Bach10,05-DieNacht-violin.wav,0.9777849323889246,0.978750804893754,12.987637519836426,3106
Bach10,06-DieSonne-violin.wav,0.9641891891891892,0.9668918918918918,19.98577308654785,2960
Bach10,07-HerrGott-violin.wav,0.9607977991746905,0.9635488308115543,17.84263038635254,2908
Bach10,08-FuerDeinenThron-violin.wav,0.9717494894486045,0.9758339006126616,17.105958938598633,2938
Bach10,09-Jesus-violin.wav,0.9661277906081601,0.9661277906081601,11.286563873291016,2598
Bach10,10-NunBitten-violin.wav,0.9627403846153846,0.9627403846153846,12.622873306274414,3328
